X23.098508 Y8.690242 Z-6.970496
X23.239163 Y8.289278 Z-7.006859
X23.366288 Y7.918493 Z-7.028168
X23.481119 Y7.574054 Z-7.033865
X23.584890 Y7.252126 Z-7.023390
X23.678835 Y6.948875 Z-6.996182
X23.764189 Y6.660466 Z-6.951682
X23.842187 Y6.383064 Z-6.889330
X23.916835 Y6.102580 Z-6.812283
X23.985354 Y5.831155 Z-6.706170
X24.048978 Y5.565390 Z-6.573005
X24.109061 Y5.299253 Z-6.420560
X24.166911 Y5.027548 Z-6.255395
X24.223583 Y4.746522 Z-6.077777
X24.280309 Y4.450092 Z-5.898815
X24.338641 Y4.130531 Z-5.738547
X24.394175 Y3.802770 Z-5.588916
X24.441558 Y3.488106 Z-5.432453
X24.485840 Y3.163948 Z-5.301160
X24.527651 Y2.829338 Z-5.197588
X24.565538 Y2.486763 Z-5.114475
X24.599802 Y2.137208 Z-5.051099
X24.629029 Y1.784125 Z-5.001759
X24.653182 Y1.430579 Z-4.960185
X24.672153 Y1.074676 Z-4.929421
X24.686278 Y0.716039 Z-4.909590
X24.695105 Y0.356955 Z-4.900201
X24.698600 Y-0.000489 Z-4.897054
X24.696696 Y-0.358950 Z-4.897580
X24.689579 Y-0.718504 Z-4.907496
X24.677109 Y-1.078107 Z-4.925096
X24.659638 Y-1.435615 Z-4.951625
X24.637312 Y-1.788861 Z-4.994083
X24.610827 Y-2.136303 Z-5.054659
X24.579515 Y-2.479761 Z-5.132851
X24.543913 Y-2.819278 Z-5.227753
X24.504160 Y-3.151788 Z-5.342312
X24.462663 Y-3.470191 Z-5.486082
X24.418538 Y-3.777178 Z-5.653622
X24.372380 Y-4.074126 Z-5.848446
X24.322320 Y-4.367966 Z-6.055735
X24.269244 Y-4.658497 Z-6.263165
X24.211970 Y-4.950931 Z-6.451713
X24.149907 Y-5.247513 Z-6.617936
X24.082403 Y-5.550555 Z-6.757721
X24.008910 Y-5.860759 Z-6.869387
X23.929159 Y-6.178673 Z-6.952365
X23.842548 Y-6.505656 Z-7.005237
X23.748801 Y-6.842971 Z-7.027757
X23.648231 Y-7.186770 Z-7.027999
X23.542146 Y-7.531051 Z-7.018444
X23.431606 Y-7.870801 Z-7.010885
X23.315754 Y-8.210188 Z-7.003376
X23.194914 Y-8.548158 Z-7.002894
X23.068495 Y-8.886686 Z-7.000000
X22.938045 Y-9.220559 Z-7.000000
X22.802618 Y-9.552467 Z-7.000000
X22.662476 Y-9.882393 Z-7.000000
X22.517440 Y-10.210207 Z-7.000000
X22.367748 Y-10.535920 Z-7.000000
X22.213240 Y-10.859368 Z-7.000000
X22.054149 Y-11.180606 Z-7.000000
X21.890323 Y-11.499433 Z-7.000000
X21.721984 Y-11.815937 Z-7.000000
X21.549088 Y-12.129935 Z-7.000000
X21.371653 Y-12.441428 Z-7.000000
X21.197308 Y-12.765085 Z-7.000000
X21.022188 Y-13.093917 Z-7.000000
X20.838959 Y-13.412862 Z-7.000000
X20.641199 Y-13.709331 Z-7.000000
X20.424459 Y-13.973716 Z-7.000000
X20.185458 Y-14.198984 Z-7.000000
X19.922478 Y-14.380868 Z-7.000000
X19.635140 Y-14.517753 Z-7.000000
X19.324317 Y-14.610607 Z-7.000000
X18.992411 Y-14.663150 Z-7.000000
X18.642711 Y-14.681452 Z-7.000000
X18.280219 Y-14.674446 Z-7.000000
X17.910531 Y-14.653201 Z-7.000000
X17.541026 Y-14.631701 Z-7.000000
X17.179623 Y-14.626000 Z-7.000000
X16.821144 Y-14.626000 Z-7.000000
X16.462665 Y-14.626000 Z-7.000000
X16.104186 Y-14.626000 Z-7.000000
X15.745706 Y-14.626000 Z-7.000000
X15.387227 Y-14.626000 Z-7.000000
X15.028748 Y-14.626000 Z-7.000000
X14.670268 Y-14.626000 Z-7.000000
X14.311789 Y-14.626000 Z-7.000000
X13.953310 Y-14.626000 Z-7.000000
X13.594830 Y-14.626000 Z-7.000000
X13.236351 Y-14.626000 Z-7.000000
X12.877872 Y-14.626000 Z-7.000000
X12.519392 Y-14.626000 Z-7.000000
X12.160913 Y-14.626000 Z-7.000000
X11.802434 Y-14.626000 Z-7.000000
X11.443955 Y-14.626000 Z-7.000000
X11.085475 Y-14.626000 Z-7.000000
X10.726996 Y-14.626000 Z-7.000000
X10.368517 Y-14.626000 Z-7.000000
X10.010037 Y-14.626000 Z-7.000000
X9.651558 Y-14.626000 Z-7.000000
X9.293079 Y-14.626000 Z-7.000000
X8.934599 Y-14.626000 Z-7.000000
X8.576120 Y-14.626000 Z-7.000000
X8.217641 Y-14.626000 Z-7.000000
X7.859162 Y-14.626000 Z-7.000000
X7.500682 Y-14.626000 Z-7.000000
X7.142203 Y-14.626000 Z-7.000000
X6.783724 Y-14.626000 Z-7.000000
X6.425244 Y-14.626000 Z-7.000000
X6.066765 Y-14.626000 Z-7.000000
X5.708286 Y-14.626000 Z-7.000000
X5.349806 Y-14.626000 Z-7.000000
X4.991327 Y-14.626000 Z-7.000000
X4.632848 Y-14.626000 Z-7.000000
X4.274368 Y-14.626000 Z-7.000000
X3.915889 Y-14.626000 Z-7.000000
X3.557410 Y-14.626000 Z-7.000000
X3.198931 Y-14.626000 Z-7.000000
X2.840451 Y-14.626000 Z-7.000000
