X19.326000 Y7.343000 Z-6.842000
X19.559000 Y6.706000 Z-6.363000
X19.771000 Y6.061000 Z-6.028000
X19.961000 Y5.409000 Z-5.773000
X20.131000 Y4.752000 Z-5.214000
X20.278000 Y4.089000 Z-5.014000
X20.404000 Y3.422000 Z-4.783000
X20.507000 Y2.750000 Z-4.549000
X20.589000 Y2.076000 Z-4.439000
X20.648000 Y1.399000 Z-4.331000
X20.685000 Y0.720000 Z-4.281000
X20.700000 Y0.040000 Z-4.281000
X20.693000 Y-0.619000 Z-4.281000
X20.665000 Y-1.277000 Z-4.322000
X20.616000 Y-1.935000 Z-4.427000
X20.545000 Y-2.591000 Z-4.520000
X20.454000 Y-3.244000 Z-4.751000
X20.343000 Y-3.894000 Z-4.966000
X20.210000 Y-4.541000 Z-5.376000
X20.057000 Y-5.183000 Z-5.698000
X19.884000 Y-5.819000 Z-5.703000
X19.690000 Y-6.450000 Z-5.973000
X19.476000 Y-7.075000 Z-6.360000
X19.242000 Y-7.693000 Z-6.915000
X18.989000 Y-8.303000 Z-6.915000
X18.989000 Y-8.303000 Z-7.000000
X18.716000 Y-8.904000 Z-7.000000
X18.425000 Y-9.497000 Z-7.000000
X18.114000 Y-10.081000 Z-7.000000
X17.785000 Y-10.654000 Z-7.000000
X17.438000 Y-11.216000 Z-7.000000
X17.073000 Y-11.767000 Z-7.000000
X16.690000 Y-12.307000 Z-7.000000
X16.291000 Y-12.834000 Z-7.000000
X15.875000 Y-13.348000 Z-7.000000
X15.442000 Y-13.849000 Z-7.000000
X14.994000 Y-14.335000 Z-7.000000
X14.708000 Y-14.626000 Z-7.000000
X-14.879000 Y-14.626000 Z-7.000000
X-15.281000 Y-14.212000 Z-7.000000
X-15.730000 Y-13.719000 Z-7.000000
X-16.163000 Y-13.211000 Z-7.000000
X-16.581000 Y-12.690000 Z-7.000000
X-16.981000 Y-12.156000 Z-7.000000
X-17.364000 Y-11.609000 Z-7.000000
X-17.729000 Y-11.050000 Z-7.000000
X-18.077000 Y-10.480000 Z-7.000000
X-18.406000 Y-9.899000 Z-7.000000
X-18.717000 Y-9.307000 Z-7.000000
X-19.008000 Y-8.706000 Z-7.000000
